Nama,Singkatan
STISIP Tasikmalaya,
STIT Al-Hidayah Tasikmalaya,
STMIK DCI,
STMIK Tasikmalaya,
Universitas Muhammadiyah Tasikmalaya,UMTAS
Universitas Perjuangan Tasikmalaya,UNPER
Institut Nahdlatul Ulama Tasikmalaya,INU Tasikmalaya
Sekolah Tinggi Hukum Galunggung,
Universitas Siliwangi,UNSIL
Sekolah Tinggi Ilmu Kesehatan Bina Putera Banjar,
Sekolah Tinggi Ilmu Teknik Bina Putra,
STAI Miftahul Huda Al-Azhar Banjar,
STISIP Bina Putera Banjar,
STIT Muhammadiyah Banjar,
Akademi Kebidanan Dulang Mas,
Akademi Kebidanan Graha Mandiri Cilacap,
Akademi Kebidanan Paguwarmas Maos,
Akademi Kepolisian ,AKPOL
Akademi Maritim Nusantara Cilacap,
Akademi Perikanan Dan Kelautan Sri Mukti,
Institut Agama Islam Imam Ghozali Cilacap,IAIIG
Politeknik Cilacap,
Sekolah Tinggi Ilmu Dakwah Surakarta ,STIDS
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap,
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap,
Sekolah Tinggi Ilmu Kesehatan Serulingmas,
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang,
Sekolah Tinggi Teologi Injili Indonesia Purwokerto,
STAI Sufyan Tsauri Majenang,
Sekolah Tinggi Ilmu Kesehatan Al Irsyad Al Islamiyyah Cilacap,
Sekolah Tinggi Ilmu Kesehatan Al-Irsyad Al-Islamiyyah,
Sekolah Tinggi Ilmu Kesehatan Paguwarmas Maos,
STKIP Majenang,
Sekolah Tinggi Teologi  Anugerah Alianse Semarang,
Sekolah Tinggi Teologi  Jemaat Kristus Indonesia Salatiga,
Sekolah Tinggi Teologi  Minyak dan Gas Cilacap,
Universitas Al-Irsyad Cilacap,UNAIC
STKIP Darussalam Cilacap,
Universitas Nahdlatul Ulama Al Ghazali Cilacap,UNUGHA
Akademi Keperawatan Serulingmas,
Politeknik Negeri Cilacap,
Akademi Farmasi Kusuma Husada Purwokerto,
Akademi Kebidanan Perwira Husada Purwokerto,
Akademi Kebidanan YLPP Purwokerto,
Akademi Keperawatan Yakpermas Banyumas,
Akademi Manajemen Rumah Sakit Kusuma Husada,
Akademi Pertanian Hkti Banyumas,
Akademi Teknik Telekomunikasi,
AMIK BSI Purwokerto,
AMIK Veteran Purwokerto,
Politeknik Ma arif,
Politeknik Pratama,
Sekolah Tinggi Ilmu Ekonomi Satria,
Sekolah Tinggi Ilmu Kesehatan Bina Cipta Husada Purwokerto,
Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa Purwokerto,
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto,
Sekolah Tinggi Khonghucu Indonesia,
Sekolah Tinggi Teknik Wiworotomo,
Sekolah Tinggi Teologi Diakonos,
Sekolah Tinggi Teologi Soteria Purwokerto,
STAIN Purwokerto,
STIQ Miftahul Huda Rawalo Banyumas Jawa Tengah,
STMIK Widya Utama,
Universitas Amikom Purwokerto,
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,UIN SAIZU
Universitas Muhammadiyah Purwokerto,UMP
Universitas Wijayakusuma Purwokerto,UNWIKU
Politeknik Yakpermas Banyumas,
Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Ajibarang,
Universitas Harapan Bangsa,UHB
Akademi Pariwisata Eka Sakti,
Institut Teknologi Telkom Purwokerto,ITTP
Sekolah Tinggi Ilmu Komputer Yos Sudarso,
Sekolah Tinggi Teknologi Telekomunikasi Purwokerto,
Sekolah Tinggi Teknologi Telematika Telkom,
Universitas Nahdlatul Ulama Purwokerto,UNU Purwokerto
IAIN Purwokerto,
STMIK Amikom Purwokerto,
Universitas Jenderal Soedirman,UNSOED
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,ITBMP
Sekolah Tinggi Teknologi YPT Purbalingga,
Universitas Perwira Purbalingga,
Politeknik Banjarnegara,
Sekolah Tinggi Agama Islam Tanbihul Ghofilin Banjarnegara,
Sekolah Tinggi Ilmu Ekonomi Tamansiswa,
Sekolah Tinggi Ilmu Tarbiyah Tunas Bangsa Banjarnegara Jawa Tengah,
STIMIK Banjarnegara,
STIMIK Tunas Bangsa Banjarnegara,
AMIK PGRI Kebumen,
Institut Agama Islam Nahdlatul Ulama Kebumen,IAINU Kebumen
Politeknik Dharma Patria,
Politeknik Piksi Ganesha Indonesia,
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa,
Sekolah Tinggi Teknologi Muhammadiyah Kebumen,
"Sekolah Tinggi Agama Islam Nahdlatul Ulama Kebumen, Jawa Tengah",
STIS Kebumen Jawa Tengah,
Universitas Muhammadiyah Gombong,UNIMOGO
Universitas Putra Bangsa,UPB
Universitas Ma'arif Nahdlatul Ulama Kebumen,UMNU Kebumen
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Gombong,
Akademi Kebidanan Bhakti Putra Bangsa Purworejo,
Akademi Keperawatan Pemerintah Kabupaten Purworejo,
Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia,IBISA
Politeknik Sawunggalih Aji,
Sekolah Tinggi Ilmu Ekonomi Rajawali,
STAI An-Nawawi Purworejo,
STAI Nahdlatul Ulama Purworejo,
Sekolah Tinggi Teologi Baptis Independen Indonesia Purworejo,
Universitas Muhammadiyah Purworejo,UMPWR
Akademi Pertanian PGRI Wonosobo,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo,
Akademi Keperawatan Pemprov Jawa Tengah,
Universitas Sains Alqur an,UNSIQ
Akademi Keperawatan Karya Bhakti Nusantara,
Politeknik Pembangunan Pertanian Yogyakarta - Magelang,
Sekolah Tinggi Penyuluhan Pertanian Magelang,
Sekolah Tinggi Teologi Magelang,
"Sekolah Tinggi Agama Islam Al-Husain Magelang, Jawa Tengah",
Politeknik Muhammadiyah Magelang,
Sekolah Tinggi Ilmu Tarbiyah Ihsanul Fikri Pabelan,
Universitas Muhammadiyah Magelang,UNIMMA
Universitas Boyolali,UBY
Sekolah Tinggi Ilmu Agama Buddha Smaratungga,
Akademi Kebidanan Estu Utomo,
Sekolah Tinggi Ilmu Kesehatan Estu Utomo,
Akademi Akuntansi Muhammadiyah Klaten,
Sekolah Tinggi Hindu Dharma Klaten Jawa Tengah,
Sekolah Tinggi Ilmu Administrasi Madani,
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,
"Sekolah Tinggi Agama Islam Muhammadiyah Klaten, Jawa Tengah",
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Klaten,
Universitas Widya Dharma,UWDP
Politeknik Manufaktur Ceper,
Akademi Akuntansi Surakarta,
Akademi Bahasa Asing Prawira Martha Sukoharjo,
Akademi Farmasi Bhakti Mulia,
Akademi Kebidanan Bhakti Mulia,
Akademi Keperawatan Bhakti Mulia,
Akademi Keperawatan Panti Kosala,
Akademi Pelayaran Nasional Surakarta,
Akademi Teknologi Warga Surakarta,
AMIK Cipta Darma,
IAIN Surakarta,
Institut Teknologi Bisnis AAS Indonesia,ITBAAS
Institut Teknologi Sains dan Kesehatan Sugeng Hartono,USH
Politeknik Kesehatan Bhakti Mulia,
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern,
Sekolah Tinggi Ilmu Ekonomi Surakarta,
Sekolah Tinggi Islam Al-Mukmin Surakarta,
"Sekolah Tinggi Teknologi ""Warga"" Surakarta",
STAIN Surakarta,
Universitas Veteran Bangun Nusantara,UNIVET BANTARA
Sekolah Tinggi Ilmu Kesehatan Nasional,
Sekolah Tinggi Ilmu Kesehatan Panti Kosala,
Sekolah Tinggi Ilmu Ekonomi AAS,
Sekolah Tinggi Ilmu Ekonomi Trianandra,
Universitas Muhammadiyah Surakarta,UMS
Akademi Kebidanan Giri Satria Husada,
Akademi Keperawatan Giri Satria Husada,
Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,
Sekolah Tinggi Agama Islam Mulia Astuti Wonogiri Jawa Tengah,
Sekolah Tinggi Teologi Lutheran Yogya,
Sekolah Tinggi Agama Kristen Bina Muda Wirawan Wonogiri,
Akademi Kebidanan Mitra Husada Karanganyar,
Akademi Keperawatan 17 Karanganyar,
Akademi Pariwisata Widya Nusantara Surakarta,
Akademi Perekam Medik Dan Infokes Mitra Husada,
Akademi Peternakan Karanganyar,
Akademi Sekretari Dan Manajemen Indonesia Solo,
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan,IKBP
Sekolah Tinggi Ilmu Al-Qur`an Isy Karima Karanganyar,
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas,
Sekolah Tinggi Teologi Berita Hidup,
Sekolah Tinggi Teologi Tawangmangu,
Sekolah Tinggi Teologi Torsina,
Sekolah Tinggi Ilmu Kesehatan Mitra Husada Karanganyar,
Akademi Kebidanan Yappi Sragen,
Akademi Keperawatan Yappi Sragen,
Politeknik Unggulan Sragen,
STIT Madina Sragen,
STAI Grobogan Jawa Tengah,
Sekolah Tinggi Islam Sunniyyah Selo Grobogan,
Akademi Kebidanan An-Nur Purwodadi,
Sekolah Tinggi Ilmu Kesehatan An-Nur Purwodadi,
Universitas An Nuur,UNAN
Akademi Minyak dan Gas Bumi,STEM
AKBID Wira Husada Nusantara,
"Sekolah Tinggi Agama Islam Khozinatul Ulum, Blora, Jawa Tengah",
Sekolah Tinggi Teknologi Ronggolawe,
STAI Al-Muhammad Cepu,
"Sekolah Tinggi Agama Islam Muhammadiyah Blora, Jawa Tengah",
Institut Agama Islam Al-Muhammad Cepu,
Politeknik Energi dan Mineral Akamigas,
Sekolah Tinggi Energi dan Mineral,
STKIP Muhammadiyah Blora,
Sekolah Tinggi Ilmu Ekonomi YPPI,
STAI Al-Anwar Sarang Rembang,
"STAI Al-Kamal Sarang Rembang, Jawa Tengah",
Sekolah Tinggi Agama Islam Al-Hidayat,
Akademi Kebidanan Bakti Utama Pati,
Akademi Kebidanan Duta Dharma Pati,
Akademi Keperawatan Pragolopati,
Akademi Pertanian Pragolapati,
Institut Pesantren Mathaliul Falah Pati Jawa Tengah,
Sekolah Tinggi Agama Islam Syekh Jangkung,
Sekolah Tinggi Ilmu Budaya Islam Syekh Jangkung Pati,
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati,
Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Utama,
STAI Mathali`ul Falah Kajen Margoyoso Pati,
"Sekolah Tinggi Agama Islam Pati, Jawa Tengah",
STAK Wiyata Wacana Pati,
STMIK AKI Pati,
Sekolah Tinggi Teknik Pati,
Akademi Kebidanan Kudus,
Akademi Kebidanan Muslimat Nahdlatul Ulama Kudus,
Akademi Kebidanan Pemerintah Kabupaten Kudus,
Akademi Kebidanan Pemkab Kudus,
Akademi Keperawatan Krida Husada,
Akademi Kesehatan Muhammadiyah Kudus,
Institut Agama Islam Negeri Kudus,
Politeknik Kudus,
Politeknik Rukun Abdi Luhur,
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama Kudus,
STAIN Kudus,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kudus,
Universitas Muhammadiyah Kudus,UMKU
Universitas Muria Kudus,UMK
Akademi Kebidanan Islam Al-hikmah,
Institut Islam Nahdlatul Ulama Jepara ,INISNU
Sekolah Tinggi Ilmu Ekonomi Nahdlatul Ulama,
Sekolah Tinggi Teknologi & Desain Nahdlatul Ulama,
Universitas Al Hikmah Jepara,
Politeknik Balekambang Jepara,
Universitas Islam Nahdlatul Ulama Jepara,UNISNU Jepara
Sekolah Tinggi Ilmu Perikanan Kalinyamat,
Sekolah Tinggi Ilmu Al-Qur`an Islamic Center Demak,
Universitas Sultan Fatah,UNISFAT
Sekolah Tinggi Agama Islam Islamic Centre Demak,
Akademi Analis Kesehatan 17 Agustus 1945 Semarang,
Akademi Kebidanan Mardi Rahayu,
Akademi Kebidanan Soko Tunggal,
Sekolah Tinggi Agama Buddha Syailendra,
Sekolah Tinggi Agama Kristen Terpadu Pesat Salatiga,
Sekolah Tinggi Teologi Abdiel Ungaran,
Sekolah Tinggi Teologi Kanaan Nusantara Ungaran,
Sekolah Tinggi Teologi Kristus Alfa Omega,
Sekolah Tinggi Teologi Sangkakala,
Sekolah Tinggi Teologi Simpson Ungaran,
Universitas Darul Ulum Islamic Centre Sudirman,UNDARIS
Akademi Kebidanan Ngudi Waluyo,
Akademi Keperawatan Ngudi Waluyo Ungaran,
Sekolah Tinggi Ilmu Kesehatan Ngudi Waluyo,
Universitas Ngudi Waluyo,UNW
Akademi Keperawatan Alkautsar Temanggung,
Akademi Keperawatan Ngesti Waluyo Parakan,
Institut Islam Nahdlatul Ulama Temanggung,
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo,
"Sekolah Tinggi Agama Islam Nahdlatul Ulama, Temanggung, Jawa Tengah",
Akademi Kebidanan Pemkab Kendal,
Akademi Kebidanan Uniska,
Akademi Keperawatan Kendal,
Akademi Keperawatan Muhammadiyah Kendal,
Politeknik Industri Furnitur dan Pengolahan Kayu,
Sekolah Tinggi Ilmu Kesehatan Kendal,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal,
Sekolah Tinggi Ilmu Kesehatan Uniska,
Sekolah Tinggi Islam Kendal ,STIK
STIT Muhammadiyah Kendal,
Sekolah Tinggi Ilmu Ekonomi Selamat Sri Kendal,
Universitas Selamat Sri,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Batang,
Akademi Analis Kesehatan Pekalongan,
Akademi Kebidanan Harapan Ibu Pekalongan,
Politeknik Muhammadiyah Pekalongan,
STAI Ki Ageng Pekalongan,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Pekajangan,
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan,
Politeknik Pusmanu,
Akademi Kebidanan Bhakti Pertiwi Pemalang,
Akademi Pertanian Muhammadiyah Pemalang,
Sekolah Tinggi Ilmu Ekonomi Assholeh,
STIT Pemalang,
Sekolah Tinggi Ekonomi Manajemen Bisnis Islam Al-Aziziyah Randudongkal Pemalang,
Akademi Perikanan Baruna,
Politeknik Purbaya,
Sekolah Tinggi Ilmu Ekonomi Syariah Putera Bangsa Tegal Jawa Tengah,
STAI Bakti Negara Tegal,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Tegal,
STKIP Nahdlatul Ulama Kabupaten Tegal,
Universitas Bhamada Slawi,
Akademi Bahasa Asing IEC Putra Bangsa tegal,
Institut Agama Islam Bakti Negara Tegal,
Politeknik Baja Tegal,
Sekolah Tinggi Ilmu Kesehatan Bhakti Mandala Husada Slawi,
Akademi Kebidanan Siti Fatimah,
Akademi Kebidanan KH Putra,
Akademi Kebidanan YPBHK Brebes,
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia,
Sekolah Tinggi Ilmu Kesehatan Brebes,
STAI Al-Hikmah 2,
"STAI Brebes, Jawa Tengah",
Sekolah Tinggi Ilmu Ekonomi Islam Bumiayu,
STKIP Islam Bumi Ayu,
STMIK Muhammadiyah Paguyangan Brebes,
Universitas Muhadi Setiabudi,UMUS
Universitas Peradaban,
Akademi Keperawatan Al-Hikmah 2 Brebes,
Politeknik Mitra Karya Mandiri,
Akademi Militer Magelang,
Akademi Teknik Tirta Wiyata,
STMIK Bina Patria,
Universitas Tidar,UNTIDAR
Universitas Tidar Magelang,UNTIDAR Magelang
Akademi Bahasa Asing Harapan Bangsa,
Akademi Bahasa Asing RA Kartini Surakarta,
Akademi Bahasa Asing St Pignatelli,
Akademi Desain Surakarta,
Akademi Kebidanan Kusuma Husada,
Akademi Kebidanan Muhammadiyah Surakarta,
Akademi Keperawatan Insan Husada Surakarta,
Akademi Keperawatan Kusuma Husada,
Akademi Keperawatan Patria Husada Surakarta,
Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,
Akademi Manajemen Industri Surakarta,
Akademi Pariwisata Mandala Bhakti,
Akademi Perekam Medik & Info Kes Citra Medika,
Akademi Seni Dan Desain Indonesia Surakarta,
Akademi Seni Mangkunegaran Surakarta,
Akademi Teknik Fajar Indonesia Surakarta,
Akademi Teknik Mesin Industri Surakarta,
Akademi Teknologi AUB,
AKPER PKU Muhammadiyah Surakarta,
AMIK Harapan Bangsa Surakarta,
Apikes Bhakti Mulia,
Institut Seni Indonesia Surakarta,ISI Surakarta
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta,
Politeknik Akbara,
Politeknik ATMI,
Politeknik Harapan Bangsa Surakarta,
Politeknik Indonusa Surakarta,
Politeknik Insan Husada Surakarta,
Politeknik Pratama Mulia,
Politeknik Santo Paulus Surakarta,
Politeknik Surakarta,
Poltekkes Kemenkes Surakarta,
Sekolah Tinggi Bahasa Asing IEC Solo,
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti,
Sekolah Tinggi Ilmu Ekonomi St Pignatelli,
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri,
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya,
Sekolah Tinggi Ilmu Kesehatan 'Aisyiyah Surakarta,
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta,
Sekolah Tinggi Pariwisata Sahid Surakarta,
Sekolah Tinggi Teologi El-Shadday Surakarta,
Sekolah Tinggi Teologi Gamaliel,
Sekolah Tinggi Teologi Intheos Surakarta,
Sekolah Tinggi Agama Islam Mamba`ul Ulum Surakarta ,STAIMUS
STIA Asuh Mitra Solo,
Sekolah Tinggi Ilmu Kesehatan Kusuma Husada Surakarta,
Sekolah Tinggi Ilmu Kesehatan PKU Muhammadiyah Surakarta,
STMIK AUB Surakarta,
STMIK Duta Bangsa,
STMIK Sinar Nusantara,
Sekolah Tinggi Teologi  Agape Indonesia Misi Internasional ,AIMI
Universitas 'Aisyiyah Surakarta,
Universitas Islam Batik,UNIBA
Universitas Islam Negeri Raden Mas Said Surakarta,UIN Surakarta
Universitas Kristen Surakarta,UKS
Universitas Kusuma Husada Surakarta,UKH
Universitas Nahdlatul Ulama Surakarta,UNU Surakarta
Universitas Sahid Surakarta,USAHID Solo
Universitas Setia Budi,
Universitas Slamet Riyadi,UNISRI
Universitas Surakarta,UNSA
Universitas Tunas Pembangunan Surakarta,UTP
Akademi Analis Kesehatan Nasional Surakarta,
Akademi Farmasi Nasional Surakarta,
Akademi Kebidanan Citra Medika Surakarta,
Institut Islam Mambaul Ulum Surakarta,
Universitas Duta Bangsa Surakarta,UDB
Akademi Kebidanan Mamba ul Ulum Surakarta,
Akademi Keperawatan Mamba ul Ulum Surakarta,
Akademi Teknologi Bank Darah Surakarta,
Sekolah Tinggi Ilmu Kesehatan Mamba ul Ulum Surakarta,
Universitas Sebelas Maret,UNS
Akademi Kebidanan Ar-Rum Salatiga,
Akademi Kebidanan Bhakti Nusantara Salatiga,
Akademi Teknik Wacana Manunggal Semarang,
IAIN Salatiga,
Politeknik Bhakti Semesta,
Sekolah Tinggi Bahasa Asing Satya Wacana,
Sekolah Tinggi Ilmu Ekonomi AMA,
Sekolah Tinggi Ilmu Kesehatan Ar-Rum,
Sekolah Tinggi Teologi Efata Salatiga,
Sekolah Tinggi Teologi Nusantara Salatiga,
STAIN Salatiga,
Sekolah Tinggi Teologi  Rhema Salatiga,
Sekolah Tinggi Teologi  Salatiga,
Universitas Kristen Satya Wacana,UKSW
Sekolah Tinggi Teologi Berea Salatiga,
Akademi Akuntansi Dian Kartika,
Akademi Akuntansi Effendi Harahap,
Akademi Analis Kesehatan Theresiana,
Akademi Bahasa Asing IEC Semarang,
Akademi Enterpreneurship Terang Bangsa,
Akademi Farmasi Theresiana Semarang,
Akademi Kebidanan Abdi Husada,
Akademi Kebidanan Karsa Mulia,
Akademi Kebidanan Panti Wilasa,
Akademi Keperawatan Asih Husada Semarang,
Akademi Keperawatan Islam Sultan Agung Semarang,
Akademi Keperawatan Kesdam IV/Diponegoro,
Akademi Keperawatan St Elizabeth Semarang,
Akademi Keperawatan Widya Husada,
Akademi Kesehatan Asih Husada,
Akademi Kesejahteraan Sosial Ibu Kartini,
Akademi Keuangan Perbankan Widya Buana,
Akademi Kimia Industri Santo Paulus Semarang,
Akademi Manajemen Indonesia Semarang,
Akademi Pelayaran Niaga Indonesia Semarang,
Akademi Sekretari Dan Manajemen Santa Anna,
Akademi Sekretari Marsudirini Santa Maria,
Akademi Statistika Muhammadiyah Semarang,
Akademi Teknik Elektro Medik,
Akademi Teknik Perkapalan Veteran,
Akademi Teknik PIKA,
Akademi Teknologi Arie Lasut,
Akademi Teknologi Semarang,
AMIK Jakarta Teknologi Cipta,
IAIN Walisongo semarang,
IKIP PGRI Semarang,
IKIP Veteran Jawa Tengah,
Institut Teknologi dan Bisnis Semarang,
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang,
Politeknik Bina Trada Semarang,
Politeknik Bumi Akpelni,
Politeknik Ilmu Pelayaran Semarang,
Politeknik Jawa Dwipa,
Politeknik Katolik Mangunwijaya,
Politeknik Maritim Negeri Indonesia,
Politeknik Pekerjaan Umum,
Poltekkes Kemenkes Semarang,
Sekolah Tinggi Elektronika & Komputer ,STEKOM
Sekolah Tinggi Ilmu Ekonomi AKA,
Sekolah Tinggi Ilmu Ekonomi Anindyaguna,
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah,
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama,
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang,
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia,
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara,
Sekolah Tinggi Ilmu Ekonomi Semarang,
Sekolah Tinggi Ilmu Ekonomi Widya Manggala,
Sekolah Tinggi Ilmu Farmasi Nusaputera,
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi,
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang,
Sekolah Tinggi Ilmu Kesehatan Hakli,
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro,
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa,
Sekolah Tinggi Ilmu Kesehatan Widya Husada Semarang,
Sekolah Tinggi Ilmu Pertanian Farming,
Sekolah Tinggi Maritim Dan Transpor AMNI,
Sekolah Tinggi Pastoral Kateketik Santo Fransiskus Asisi Semarang,STPKat
Sekolah Tinggi Teologi Baptis Indonesia,
Sekolah Tinggi Teologi dan Entrepreneurship Pringgading,
"Sekolah Tinggi Agama Islam Walisembilan Semarang , Jawa Tengah",SETIAWS
Sekolah Tinggi Ilmu Kesehatan Karya Husada Semarang,
STIMIK Pro Visi,
STMIK Himsya,
Sekolah Tinggi Teologi  Internasional Harvest Semarang,
Universitas 17 Agustus 1945 Semarang,UNTAGSMG
Universitas Aki,UNAKI
Universitas Dian Nuswantoro,DINUS
Universitas Islam Negeri Walisongo Semarang,Walisongo
Universitas Ivet,UNISVET
Universitas Karya Husada Semarang,UNKAHA
Universitas Maritim AMNI,UNIMAR AMNI
Universitas Pandanaran,UNPAND
Universitas PGRI Semarang,UPGRIS
Universitas Sains dan Teknologi Komputer,STEKOM
Universitas Semarang,USM
Universitas Stikubank,UNISBANK
Universitas Wahid Hasyim,UNWAHAS
Universitas Widya Husada Semarang,UWHS
Universitas Negeri Semarang,UNNES
Universitas Katolik Soegijapranata,UNIKA
Akademi Keuangan Dan Akuntansi Wika Jasa,
Akademi Bahasa 17 Agustus 1945 Semarang,
Politeknik Negeri Semarang,
Universitas Diponegoro,UNDIP
Universitas Muhammadiyah Semarang,UNIMUS
Universitas Islam Sultan Agung,UNISSULA
Akademi Farmasi Nusaputera Semarang,
Universitas Nasional Karangturi Semarang,UNKARTUR Semarang
Akademi Farmasi 17 Agustus 1945 Semarang,
Akademi Fisioterapi Widya Husada,
Sekolah Tinggi Ilmu Ekonomi Totalwin,
Sekolah Tinggi Ilmu Komunikasi,
Sekolah Tinggi Teologi Alkitabiah Eklesia,
Sekolah Tinggi Ilmu Kesehatan Telogorejo Semarang,
Institut Agama Islam Negeri Pekalongan,
STAIN Pekalongan,
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Pekalongan,
STMIK Widya Pratama,
Universitas Muhammadiyah Pekajangan Pekalongan,UMPP
Universitas Pekalongan,UNIKAL
Akademi Keperawatan Pemkot Tegal,
AMIK BSI Tegal,
AMIK YMI Tegal,
Politeknik Harapan Bersama,
Politeknik Keselamatan Transportasi Jalan,
Politeknik Muhammadiyah Tegal,
Politeknik Stibisnis,
STMIK YMI Tegal,
Universitas Pancasakti Tegal,UPSTEGAL
Politeknik Trisila Dharma,
Akademi Analis Kesehatan Manggala Yogyakarta,
Akademi Bahasa Asing Yappindo,
Akademi Bahasa Asing YIPK Yogyakarta,
Akademi Desain Visi Yogyakarta,
Akademi Kebidanan Ummi Khasanah,
Akademi Keperawatan Al-Islam Yogyakarta,
Akademi Keperawatan Bethesda Yakkum,
Akademi Keperawatan Wiyata Husada Yogyakarta,
Akademi Keperawatan YKY Yogyakarta,
Akademi Kesehatan Lingkungan Wiyata Husada,
Akademi Kesejahteraan Sosial Tarakanita,
Akademi Keuangan Dan Perbankan YIPK,
Akademi Manajemen Administrasi YPK Yogyakarta,
Akademi Manajemen Informatika & Komputer Aster,
Akademi Manajemen Informatika & Komputer Yappindo,
Akademi Perawatan Karya Bakti Husada Yogyakarta,
Akademi Sekretari Dan Manajemen Indonesia Bantul,
Akademi Seni Rupa Dan Desain Akseri,
Akademi Teknik Piri,
Akademi teknologi Kulit Yogyakarta,
AMIK Kartika Yani,
Institut Ilmu Al Qur'an An-Nur Yogyakarta,
Institut Seni Indonesia Yogyakarta,ISI Yogyakarta
Institut Teknologi Dirgantara Adisutjipto,ITDA
Institut Teknologi Yogyakarta,ITY
Politeknik Kesehatan TNI AU Adisutjipto,
Politeknik Kesehatan Ummi Khasanah,
Politeknik PPKP,
Politeknik YDHI,
Sekolah Tinggi Ekonomi dan Bisnis Islam Al-Muhsin Yogyakarta,
Sekolah Tinggi Ekonomi Islam Hamfara Yogyakarta,
Sekolah Tinggi Ilmu Al-Qur`an An-Nur Yogyakarta,
Sekolah Tinggi Ilmu Ekonomi Kerja Sama,
Sekolah Tinggi Ilmu Ekonomi Ykp,
Sekolah Tinggi Ilmu Kesehatan Jogja,
Sekolah Tinggi Ilmu Kesehatan Respati,
Sekolah Tinggi Ilmu Kesehatan Surya Global Yogyakarta,
Sekolah Tinggi Ilmu Tarbiyah Madani Yogyakarta,
Sekolah Tinggi Teknik Lingkungan,
Sekolah Tinggi Teknologi Adisutjipto,
Sekolah Tinggi Teknologi Informasi Respati,
STAI Alma Ata Yogyakarta,
STIKIP Catur Sakti,
STMIK Pelita Nusantara Yogyakarta,
STMIK Proactive,
Universitas Teknologi Digital Indonesia,UTDI
AMIK Wira Setya Mulya,
Sekolah Tinggi Ilmu Kesehatan Madani,
Sekolah Tinggi Pariwisata Ambarrukmo Yogyakarta,
STMIK Akakom,
Akademi Kebidanan Yogyakarta,
Sekolah Tinggi Ilmu Kesehatan Akbidyo,
Sekolah Tinggi Teknologi Kedirgantaraan,
Akademi Manajemen Administrasi Yogyakarta,
Politeknik Muhammadiyah Yogyakarta,
Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,
Universitas Alma Ata,
Universitas Muhammadiyah Yogyakarta,UMY
Universitas PGRI Yogyakarta,UPY
Akademi Kebidanan Nyai Ahmad Dahlan Yogyakarta,
Universitas Mercu Buana Yogyakarta,
Akademi Komunikasi Radya Binatama,
Akademi Maritim Ganesha Yogyakarta,
Akademi Maritim Yogyakarta,
Akademi Pariwisata BSI Yogyakarta,
